review,stemmed_review,Transaction Efficiency,User Experience,Account Access and Registration,Balance and Charges
Gak ada yang menarik di aplikasi ini. Nerima transferan aja saldo terpotong. Pengiriman ke rekening mana pun selain ovo dikenakan biaya admin . Tranfer ke dompet digital sebelah gak biss juga. Gk menarik bnget.,tarik aplikasi terima transfer saldo potong kirim rekening kena biaya admin tranfer dompet digital belah biss tarik,2,2,0,2
"Tolong dong pihak ovo , harus adain jalur wa klo minta kode otp nya , gimna klo nomer telpon ga ada sinyal susah masuk nya",pihak adakan jalur wa minta kode otp nomer telepon sinyal susah masuk,0,0,2,0
Gilak ah ribet amat 1jt sisah 980rb kebanyakan admin😂,gila ah ribet juta sisah ribu banyak admin,0,2,0,2
"Maaf untuk aplikasinya bagus ringan tapi kendala saya gak bisa transfer ke dompet digital lain, hanya bisa dua sesama ovo dan bank besar dompet Digital gak ada misalkan seperti DANA GOPAY Seabank dan lain-lain disayangkan ... Terima kasih",maaf aplikasi bagus ringan kendala transfer dompet digital sama bank besar dompet digital misal dana gopay seabank lainlain sayang terima kasih,2,1,0,0
Lumayan bagus tapi demi kenyamanan semua pengguna tolong di perbaiki juga jangan sampai ada kekecewaan 😊🙏,lumayan bagus nyaman semua guna baik jangan kecewa,0,1,0,0
aplikasi baik sngt membantu,aplikasi baik bantu,0,1,0,0
"setiap buka aplikasi selalu ga bisa katanya jaringan bermasalah padahal buat yang lain bagus, tolong diperbaiki ini udah ke 10 kali lebih terjadi",buka aplikasi selalu kata jaring masalah buat bagus baik lebih jadi,0,2,0,0
Sangat meresahkan proses transfer selalu diproses lama,resah proses transfer selalu proses lama,2,0,0,0
"Aplikasi apa ini, e wallet lain gada yang kaya gini, masa kita tf ke ovo di potong 1.000, trus kita tf ke bank lain 2500 kacau ini, rugi aja dong",aplikasi ewallet begini transfer potong transfer bank kacau rugi,0,2,0,2
"Aplikasi pencuri duitttt!!!!! Masa gw transfer saldo ke ovo ga masuk"" mana udh berbulan bulan #jangan pakai aplikasi ini klau ga mau nyesal",aplikasi curi duitttt transfer saldo masuk bulan bulan jangan pakai aplikasi sesal,0,2,0,2
tolong lah ovo saya sudah tranfer dari ovo ke bank bsi sudah 2 hari belum terkirim ke bsi saya di ovo keterangan nya transaksi di peroses tolong lah,tranfer bank bsi hari kirim bsi terang transaksi peroses,2,2,0,0
The best,the best,0,1,0,0
"ini aplikasi lama-lama manja banget baru seminggu di update minta update lagi, emang yang berubah apanya,,,, lama-lama saya buang juga neh dari aplikasi",aplikasi lama lama manja baru minggu baru minta baru ubah apa lama lama buang aplikasi,0,2,0,0
Ovo makin lama makin ribet slalu minta data diri terus padahal kan udah pas lagi daftar ribet proses nya lama blom tntu berhasil,makin lama makin ribet selalu minta data diri daftar ribet proses lama tntu hasil,0,2,2,0
Cukup Membantu.,cukup bantu,0,1,0,0
gimana si ovo saya tranfer ke rekening bri tapi tertunda suruh nunggu 2 hari udah nunggu sampek 3 hari masih belum masuk klo bener gak masuk sama aja dirampok,tranfer rekening bank rakyat indonesia tunda suruh tunggu hari tunggu hari masuk benar masuk rampok,2,2,0,0
aplikasi selalu stuck gabisa masuk dan katanya kegagalan jaringan padahal gw make wifi,aplikasi selalu stuck masuk kata gagal jaring make wifi,0,2,0,0
saya tidak ragu2 ngasih bintang 1 buat ovo karena pembayaran melalui QRIS sering lemot prosesnya. Sering kali harus bayar doubke karena lemot.proses refund pelayananya ok tapi prosesnya laaaaaaamaaaa banget,ragu beri bintang buat bayar lalu qris sering lot proses sering bayar doubke lemotproses refund pelayananya oke proses laaaaaaamaaaa,2,2,0,0
Terlalu sering update mumet,terlalu sering baru mumet,0,2,0,0
Kenapa aplikasi ovo punya q tidak BS transfer,aplikasi punya transfer,2,0,0,0
Sering eror trus anjinggg,sering eror anjinggg,0,2,0,0
OVO selalu ada di hati Ojol,selalu hati ojek online,0,1,0,0
"Sangat buruk uang saya terpotong untuk iklan gak jelas padahal saya tidak pernah berlangganan iklan apapun, transaksi kemanapun selalu dipotong buruk sekali emang.. saya hapus aplikasi ini. Gak akan pernah mau pakek aplikasi ini sampai kapanpun. Jgn ada yg pakek please kalok GK kalian akan rugi",buruk uang potong iklan jelas pernah langgan iklan apa transaksi mana selalu potong buruk sekali hapus aplikasi pernah pakai aplikasi kapan jangan pakai please rugi,0,2,0,2
"Mau login aja ga bs dgn keterangan koneksi internet buruk (pake wifi), pdhl buat aplikasi lain & browse lancar jaya, jelekkkkkk",login terang koneksi internet buruk pakai wifi buat aplikasi browse lancar jaya jelekkkkkk,0,2,2,0
Apl bosok..,apl busuk,0,2,0,0
Sangat membantu,bantu,0,1,0,0
"aplikasi gajelas lebih mending aplikasi dompet biru, pernah saya ngisi paket data,paket datanya ga kepasang pasang smpe sekarang, terus saya pernah top up uangnya nggak masuk,ntah ilang kemana, aplikasi jelek,suka korup,gara² uang nya ngga masuk di akun saya,saya di kost jadi nggak makan seminggu padahal itu buat beli jajan termasuk makan 😭🤧 edit pas mau narik uang di Indomaret nggak bisa ditarik tunai,apalah ovo, aplikasi banyak trouble nya:(",aplikasi jelas lebih mending aplikasi dompet biru pernah isi paket datapaket data pasang pasang sekarang pernah topup uang masukntah hilang aplikasi jeleksuka korupgara uang masuk akun sayasaya indekos makan minggu buat beli jajan masuk makan edit tarik uang indomaret tarik tunaiapalah aplikasi banyak trouble,0,2,0,2
Aplikasinya suka bermasalah topup tidak masuk padahal status berhasil buat laporan di aplikasi ovo nya malah eror gagal pdahal jaringan bagus bukti juga sudah jelas tapi gagal terus bikin laporan dari email juga responnya lama banget,aplikasi suka masalah topup masuk status hasil buat lapor aplikasi eror gagal jaring bagus bukti jelas gagal bikin lapor email responnya lama,0,2,0,2
"Aplikasi tidak rekomendasi mending pakek dana atau ewalet yang lain , sungguh nyesel buat TF keterangan di proses tapi saldo sudah terpotong dan keterangan tetep di proses , tidak ada uang kembali sungguh mengecewakan 👎👎👎",aplikasi rekomendasi mending pakai dana ewalet sungguh sesal buat transfer terang proses saldo potong terang tetap proses uang sungguh kecewa,2,2,0,2
Sangat baik,baik,0,1,0,0
"Setiap transaksi langganan selalu autodebet. Tidak ada konfirmasi terlebih dahulu. Nyesel saya pake ovo. Saya simpan uang beberapa puluh ribu untuk di gunakan pada saat mendesak, tp malaah kena autodebet langganan yg ga jelas tanpa notifikasi konfirmasi.",transaksi langgan selalu autodebet konfirmasi lebih sesal pakai simpan uang beberapa puluh ribu guna desak malaah autodebet langgan jelas notifikasi konfirmasi,2,2,0,2
Lebih mudah,lebih mudah,0,1,0,0
Sangat bagus,bagus,0,1,0,0
"ovo payah, kirim yang dalam proses melulu",payah kirim proses melulu,2,2,0,0
kendala saya di history pembayaran sudah berhasil tetapi saldo dana tidak masuk rekening penerima mohon bantuannya dari pihak ovo MOHON UNTUK PIHAK OVO MENG ACC,kendala histori bayar hasil saldo dana masuk rekening terima mohon bantu pihak mohon pihak meng acc,2,2,0,0
Saya beli pulsa saldo sudah berkurang tapi pulsa saya masih aja gak ada,beli pulsa saldo kurang pulsa,2,0,0,2
Cepat dan terpercaya,cepat percaya,0,1,0,0
Sangat bagus,bagus,0,1,0,0
"Kenapa tidak bisa Upgrade ke premium, padahal KTP saya belum pernah daftar ke ovo baru kali ini , terus dibilang nik kamu sudah ada di akun lain maksudnya gimana nih tolong lah ovo 😬",tingkat premium kartu tanda duduk pernah daftar baru bilang nik akun maksud,0,2,2,0
"Bener"" bikin tobat download aplikasi ini gak bisa buat apa""",benar bikin tobat unduh aplikasi buat,0,2,0,0
"Gak jelas aplikasinya,",jelas aplikasi,0,2,0,0
"Aplikasi 4njng,aku brusan isi ovo 60k pdahal udh sukses,tapi gatau kmna masuk nya...syalan ovo bnatang",aplikasi njngaku brusan isi k suksestapi tak tau masuk nyasyalan bnatang,0,2,0,2
"Kenapa kok mau nulis nama, gak bisa, kita mau buat akun",tulis nama buat akun,0,0,2,0
"apk nya buruk bangett , masa iya mau transfer uang harus di upgrade dulu capee banget, mana disuruh nunggu', pas besokny nyoba lagii uda sama aja hasilnya gabisa ngirim, harus di upgrade, tolong jangan persulitt orgg!!",buruk iya transfer uang tingkat dulu cape suruh tunggu besokny coba hasil kirim tingkat jangan persulitt orgg,2,2,0,0
"Ok,not bad tq",oknot bad terima kasih,0,1,0,0
"No ovo yg terdaftar hilang mau saya ganti nomor telpon yg lama mau gnti yg baru gak bisa , berapa kali saya kirim ulang verifikasi email gak ada masuk2 link, padahal saldonya ada 4juta, tolong lah aplikasix jngan sampai terjadi seperti saya",no daftar hilang ganti nomor telepon lama ganti baru berapa kirim ulang verifikasi email masuk link saldo juta aplikasix jangan jadi,0,2,2,0
"fee untuk transaksi dan top up sudah tidak kompetitif, yang lain makin memberikan kemudahan dan byk free ini ovo malah makin mahal utk transfer antar bank",fee transaksi topup kompetitif makin beri mudah banyak free makin mahal transfer antar bank,0,2,0,2
"Ovo e walet terburuk di negri ini,,masa mau transfer ga bisa kalah ama sebelah secepat kilat,,mana klw topup di potong pula tp kualitas pelayanan buruk,,kapok pake ovo",e walet buruk negeri inimasa transfer kalah belah cepat kilatmana topup potong kualitas layan burukkapok pakai,2,2,0,2
"Saya ngirim uang , uda 4 hri blom masuk ke akun, kek mna ini solusi nya,, msak uda 4 hri kerja blom juga masuk ke akun saya, tlong proses lah, jgan kek gini",kirim uang hari masuk akun solusi msak hari kerja masuk akun tlong proses jangan begini,2,2,0,0
"Mau dijadiin premier g bisa harus foto muka dulu lah gimana mau foto muka kalau error terus, gagal memproses g rekomen bngt nih ovo hapus aja dah👎",jadi premier foto muka dulu foto muka error gagal proses rekomen hapus,0,2,2,0
"Gak bisa bayar tagihan , gak bisa transfer ke bank Cimb, mngkin semua bank gk bisa? bisa ny cuma isi saldo isi pulsa,, ini kenpa? Udah lama pake ovo sampai sini bikin kecewa. Udh beberapa hari di coba bayar tagihan gagal terus 🫣 transaksi berhasil, saldo terpotong. tapi tagihan tidak terbayar, selang 5 menit saldo kembali lagi 😪 tolong di perbaiki jika sedang gangguan tolong di beri tahu",bayar tagih transfer bank cimb mungkin semua bank isi saldo isi pulsa kenpa lama pakai sini bikin kecewa beberapa hari coba bayar tagih gagal transaksi hasil saldo potong tagih bayar selang menit saldo baik sedang ganggu beri tahu,2,2,0,0
Susah daftar e-mail bgo apk nya,susah daftar email bgo,0,2,2,0
Mantapppppp surantapppppppppp,mantapppppp surantapppppppppp,0,1,0,0
Tolong dong untuk top up ovo yg berhasil tapi di akun ovo tidk masuk . Mohon di tangapin . Dan cept pengembLiannya,topup hasil akun masuk mohon tangapin cepat pengembliannya,0,0,0,2
"Kenapa gk bs top up.... paya... apk gk bermutu, lambat kali buat login aja apk sampah",topup paya mutu lambat buat login sampah,0,2,2,2
Beli pulsa prosesnya lama. Akhirnya saldo terpotong tapi pulsa blm masuk.,beli pulsa proses lama akhir saldo potong pulsa masuk,2,0,0,2
Sangat mudah untuk digunakan,mudah guna,0,1,0,0
"Kenapa ovo transfernya kok lama, sedang menunggu proses terus. Tetapi saldo sudah kepotong. Saya transfer ke atm sudah kepotong saldo nya. Tetapi kterangan masih proses",transfer lama sedang tunggu proses saldo potong transfer atm potong saldo kterangan proses,2,0,0,2
Kok udah gk ada fitur kirim ke dana.. Makin gak jelas,fitur kirim dana makin jelas,2,2,0,0
"Terlalu banyak potongan admin tiap transaksi.top up aja dpotong 2000 blm trasfer potong lagi,gk kayak sebelah,biaya tf aja cuma 500 perak",terlalu banyak potong admin tiap transaksitop up potong trasfer potong lagigk sebelahbiaya transfer perak,0,2,0,2
Saldo saya terpotong..tolong cara pengembalianya,saldo terpotongtolong cara pengembalianya,0,0,0,2
Attention dev plz fitur profile add untuk no rek 😊,attention dev plz fitur profil add no rek,0,1,0,0
"Potongan super mahal, dasar pelitt ovo asu",potong super mahal dasar pelitt anjing,0,2,0,2
"Woii admin gimana ini? Gua udh nungguin dr tgl 8 smpe tgl 11 gaada kejelasan dari kalian, saya beli data tertulis berhasil, dana sdh dipotong tetapi data tidak masuk, saya sudah melaporkan lewat email tp blm ada etikad baik dari kalian!! Gimana ini pertanggung jawaban nya?",oi admin tunggu tanggal tanggal jelas beli data tulis hasil dana potong data masuk lapor lewat email etikad baik tanggung jawab,0,2,0,2
"Ganti email g bisa....iki keamanan yg nggak jelas...trus kalo mau nambah hp ato ganti hp gmn?...wong tinggal email, terbaca, verifikasi sdh kan...bener...ngapain bèrbelit sampe gak bisa?....amatir",ganti email bisaiki aman jelastrus tambah handphone ganti handphone gmnwong tinggal email baca verifikasi kanbenerngapain brbelit bisaamatir,0,2,2,0
Ganti email gak bisa....nggak jelas ini keamanannya Trus orang mau disuruh pake hp lamaaaa terus....gmn ini g jelas blas,ganti email bisanggak jelas aman orang suruh pakai handphone lamaaaa terusgmn jelas sekali,0,2,2,0
GW TOP UP SALDO KE OVO SAMPE SEKARANG GAK MASUK MASUK KACAW BANGET SIH OVO !!!!!!,topup saldo sekarang masuk masuk kacaw,0,2,0,2
Kok sekarang sering bermasalah ovonya ya. Ribet Tiap x transaksi .. Kelamaan..,sekarang sering masalah ovonya ribet tiap transaksi lama,2,2,0,0
"kebanyakan admin sana sini, potongan sana sini",banyak admin sana sini potong sana sini,0,0,0,2
Pepek aplikasi apaan ini lambat ga jls,pepek aplikasi apa lambat jelas,0,2,0,0
Membantu transaksi saya,bantu transaksi,1,0,0,0
Bugus sangat membantu,bugus bantu,0,1,0,0
"OVO MANTEP Buat tarik saldo dan transfer mudah,,,silahkan download apk nya bisa di pake buat apa aja keren,,mantul pokoknya,,",mantap buat tarik saldo transfer mudahsilahkan unduh pakai buat kerenmantul pokok,1,1,0,1
Ribet gagal mulu padahal udh ada akun ya kali harus bikin email baru lagi klo mau download ulang,ribet gagal mulu akun bikin email baru unduh ulang,0,2,2,0
Sayangnya gak bisa kirim ke ewallet,sayang kirim ewallet,2,0,0,0
"Transfer dari ovo ke rekening bank lama sekali prosesnya, lebih dari 25 jam saya menunggu. Ni dah kedua kali, apakah sudah tidak real-time lagi sekarang? Saya disuruh menunggu 3 hari kerja untuk di proses.... Ni uang bro, mau di pakai bukan baju kalau belum sampai masih bisa nunggu. Perbaiki sistem kalian .",transfer rekening bank lama sekali proses lebih jam tunggu dua realtime sekarang suruh tunggu hari kerja proses uang bro pakai bukan baju tunggu baik sistem,2,2,0,0
Transaksi diproses sampai 2hari kerja tolong mohon bantuan nya,transaksi proses hari kerja mohon bantu,2,2,0,0
"JELEK BANGEETTT, APLIKASI YANG KEBANYAKAN MOTONG BIAYA ADMIN!!! DAPET TF DARI BANK KEPOTONG, TF KE BANK KEPOTONG JUGA. JADI MALES PAKAINYA",jelek aplikasi banyak potong biaya admin transfer bank potong transfer bank potong malas pakai,0,2,0,2
gimana sih saya mau transfer malah di proses mulu. lama. mana selalu ada biaya penanganan yang gede,transfer proses mulu lama selalu biaya tangan gede,2,0,0,2
Kalau transfer selalu eror aneh nih ovo ribet pakai aplikasi ini,transfer selalu eror aneh ribet pakai aplikasi,2,2,0,0
respon terlalu lama dan tidak menyelesaikan masalah. proses pengembalian saldo terlalu lama.,respon terlalu lama selesai masalah proses kembali saldo terlalu lama,0,2,0,2
saya gagal transaksi ke bank BCA saldo saya sudah terpotong tolong kembalikan saldo saya,gagal transaksi bank baca saldo potong kembali saldo,2,0,0,2
Saya sangat suka menggunakan aplikasi ovo sangat membantu saya trimakasi buat admin nya smonga ovo nya gak ada masalah🤗,suka guna aplikasi bantu trimakasi buat admin smonga masalah,0,1,0,0
Bagus dan memuaskan pko nyh!!,bagus muas pko nyh,0,1,0,0
Tidak bisa bayar/transaksi dari jam 5 sampai 20malam.,bayartransaksi jam malam,2,0,0,0
Apl ini kirim kode ke wa dan SMS aja lama dan juga pembayaran pending gak ada refund Apl kurang bagus,apl kirim kode wa sms lama bayar pending refund apl kurang bagus,2,2,2,0
Lama banget kalu buat topup via qris,lama buat topup via qris,0,0,0,2
"Aplikasi lawak gak guna, topup gk masuk malah terpaksa hubungi cs katanya 3 hari kerja baru bisa ditinjau lawakkkk nyusahin aja mending pake DANA, atau GOPAY ini apk juga ribet asli sumpah ni apk ngeselin.",aplikasi lawak topup masuk paksa hubung rekan kata hari kerja baru tinjau lawakkkk susah mending pakai dana gopay ribet asli sumpah kesal,0,2,0,2
Good app,good app,0,1,0,0
Aplikasi busuk,aplikasi busuk,0,2,0,0
aplikasi tolol jelek banget,aplikasi tolol jelek,0,2,0,0
"Saya udah make 1tahun udah kali ini tf qris, pending, baru terkirim setelah 24jam menunggu tpi dipihak qr tidak masuk, tapi dihistori ovo udah sukses tidak ada pengembalian dana🥺",make tahun transfer qris pending baru kirim jam tunggu pihak qr masuk histori sukses kembali dana,2,2,0,0
Cepat dan aman,cepat aman,0,1,0,0
banyak kali gagal proses nya pedahal lagi penting,banyak gagal proses pedahal penting,0,2,0,0
"Transfer cepat instan ,g ribet, aman dan terpercaya.",transfer cepat instan ribet aman percaya,1,1,0,0
Masukin nama gak bisa pas baru daftar cuma bisa ngetik 1 huruf saja aplikasi bodoh beberapa kali diulang juga ga bisa diketik nama,masuk nama baru daftar etik huruf aplikasi bodoh beberapa ulang ketik nama,0,2,2,0
Mantaps mempermudah,mantaps mudah,0,1,0,0
Bagus dan puas pake ovo,bagus puas pakai,0,1,0,0
"Gak jelas,untuk mendaftarkan saja sudah gak bisa apalagi sistimy nya ya.. Maaf ya..",jelasuntuk daftar sistimy maaf,0,0,2,0
admin mahal,admin mahal,0,0,0,2
Potongan admin sangat besar,potong admin besar,0,0,0,2
"Gak pernah dapet diskon, walaupun di promosi nya ada diskon",pernah diskon walaupun promosi diskon,0,2,0,0
"Dari rekening grabpay ke ovo status acc tapi pas buka apk ovo,saldo masih 0!",rekening grabpay status acc buka ovosaldo,0,0,0,2
Keren dan cukup membantu sayang limitbpaylaternya kecil,keren cukup bantu sayang limitbpaylaternya kecil,2,1,0,0
"Bisa ga sih biaya transfer tuh di potong dari pihak pengirim.? Misal pas pengirim mau transfer kasih biaya tambahan biaya transfer., Jangan Ini mah biaya transfer d bebanin nya malah ke penerima kan pe'a, rugilah dong...",biaya transfer potong pihak kirim misal kirim transfer kasih biaya tambah biaya transfer jangan biaya transfer bebanin terima peang rugi,0,0,0,2
"OVO APLIKASI MISKIN, SEMUA SEMUA ADA BIAYA ADA POTONGAN......APLIKASI TOLOLLLL, KALAH SAMA E WALLET LAIN...",aplikasi miskin semua semua biaya potonganaplikasi tolollll kalah ewallet,0,2,0,2
Mantap 👌👍,mantap,0,1,0,0
"Kenapa sekarang, buat TF selalu Gagal terus, nggak siang nggak malam, SetiaonMau TF Pilih nama Bank, Gak bisa.... Top up lancar, TF gagal!!!",sekarang buat transfer selalu gagal siang malam setiaonmau transfer pilih nama bank topup lancar transfer gagal,2,0,0,2
Potongan nya makin lama makin parah. Yakin klo ga ada kerjasama dgn grab gabakal pke apk ini.,potong makin lama makin parah yakin kerja grab pakai,0,2,0,2
"susah bener log in nya, kendala sinyal mulu padahal make aplikasi lain lancar",susah benar log in kendala sinyal mulu make aplikasi lancar,0,2,2,0
"Min gua belum ganti pin,tapi gua mau masukin akun nya malah pin nya salah👊👊👊",min ganti pintapi masuk akun pin salah,0,0,2,0
Semoga Aplikasi ini membereri kemudahan dan Aman Asmiin,moga aplikasi membereri mudah aman asmiin,0,1,0,0
Setiap bula aplikasinya masih diminta update. Lu update tiap hari apa begimana sih!,bula aplikasi minta baru baru tiap hari,0,2,0,0
NAMA LENGKAP AJA SUSAH DITULIS EROOR ATAU BUG,nama lengkap susah tulis eroor bug,0,0,2,0
KALO UPDATE GAK USAH MAKSA KAYAK SERING DIPAKE AJA RIBET KALO HARUS UPDATE DULU !!!,baru usah paksa sering pakai ribet baru dulu,0,2,0,0
Kecewa dengan ovo .. pinjaman di aplikasi adapundi gk pernah lolos verifikasi..,kecewa pinjam aplikasi adapundi pernah lolos verifikasi,0,2,0,0
Mau transfer ke sesama ovo kenapa harus upgrade ke premier dulu...giliran mau update susah banget padahal sudah jadi pelanggan ovo ber tahun tahun,transfer sama tingkat premier dulugiliran baru susah langgan ber tahun tahun,2,0,2,0
"Saya top up belum masuk tapi transaksi telah berhasil, dari tanggal 04 Oktober sampai saat ini tanggal 10 Oktober blm ada tindakan juga, saya sudah telpon call center berkali kali disuruh menunggu dan malah di reject, saya kirim email sampai sekarang blm ada penyelesaian nya, sangat lambat sekali penanganan seperti ini, tolong berikan kami kenyamanan bertransaksi",topup masuk transaksi hasil tanggal oktober tanggal oktober tindak telepon call center kali suruh tunggu reject kirim email sekarang selesai lambat sekali tangan ikan nyaman transaksi,0,2,0,2
Mantap aplikasi sangat membantu,mantap aplikasi bantu,0,1,0,0
"setelah update mlh tambah eror, mau login perlu ngisi email tapi tu apk mlh macet sampe udah uninstall ulang masih aja kek gitu😤",baru tambah eror login perlu isi email macet uninstall ulang,0,2,2,0
Sudah 2 hari saya menunggu Transferan tapi masih proses trus lambat sekali kerjanya saya kecewa sekali,hari tunggu transfer proses lambat sekali kerja kecewa sekali,2,2,0,0
"Saldo sudah terpotong di aplikasi tapi status masih sedang diproses ??? Yang bener aja system nya , transaksi jam setengah 1 , kalo emang gangguan yaa batal aja langsung balikin saldonya!!!",saldo potong aplikasi status sedang proses benar sistem transaksi jam tengah ganggu batal langsung kembali saldo,0,2,0,2
"Kapok pake ovo, banyak penipu yg bekerja sama dengan pegawainya, saya lapor melalui direct message instagram tapi sudah banyak penipu yg menghubungi, aneh, saya yakin sebentar lagi bangkrut",kapok pakai banyak tipu kerja pegawai lapor lalu direct message instagram banyak tipu hubung aneh yakin sebentar bangkrut,0,2,0,0
"Luar biasa, transaksi cepat & lancar",luar biasa transaksi cepat lancar,1,1,0,0
transfernya masih gangguan kurang bagus,transfer ganggu kurang bagus,2,0,0,0
